Reference:,Baratta et al. (2015),,,,,
DOI:,doi:http://dx.doi.org/10.1016/j.pss.2015.08.011,,,,,
Sample Type:,Ice Tholin,,,,,
Composition:,CH4:CO:N2 (1:1:1),,,,,
Temperature:,300K,,,,,
OCdb page:,https://ocdb.smce.nasa.gov/dataset/3,,,,,
n_ Error Units:,Not Applicable,,,,,
k_ Error Units:,Not Applicable,,,,,
,,,,,,
Wavenumber (cm__),n_,Dn_  (+/-),,Wavenumber (cm__),k_,Dk_  (+/-)
4867.5,1.61709,,,4867.5,0.01281,
4875.8,1.61708,,,4875.8,0.01269,
4884.2,1.61723,,,4884.2,0.01264,
4892.5,1.61725,,,4892.5,0.01259,
4900.9,1.61719,,,4900.9,0.01256,
4909.2,1.61729,,,4909.2,0.01239,
4917.6,1.61729,,,4917.6,0.01227,
4925.9,1.61737,,,4925.9,0.0122,
4934.3,1.61752,,,4934.3,0.01207,
4942.6,1.6175,,,4942.6,0.01206,
4951,1.6176,,,4951,0.01191,
4959.4,1.61766,,,4959.4,0.01185,
4967.7,1.61772,,,4967.7,0.01169,
4976.1,1.61784,,,4976.1,0.01161,
4984.4,1.61794,,,4984.4,0.01156,
4992.8,1.61798,,,4992.8,0.01148,
5001.1,1.61813,,,5001.1,0.0114,
5009.4,1.61814,,,5009.4,0.01132,
5017.8,1.61826,,,5017.8,0.01123,
5026.1,1.61837,,,5026.1,0.01117,
5034.5,1.61849,,,5034.5,0.01111,
5042.9,1.61854,,,5042.9,0.01105,
5051.2,1.61865,,,5051.2,0.01101,
5059.6,1.61877,,,5059.6,0.01094,
5067.9,1.61885,,,5067.9,0.01095,
5076.3,1.61891,,,5076.3,0.01094,
5084.6,1.61896,,,5084.6,0.01085,
5093,1.61896,,,5093,0.01073,
5101.3,1.61913,,,5101.3,0.01076,
5109.7,1.61915,,,5109.7,0.01067,
5118,1.61919,,,5118,0.01061,
5126.4,1.61927,,,5126.4,0.01058,
5134.7,1.6194,,,5134.7,0.01041,
5143.1,1.61947,,,5143.1,0.01046,
5151.4,1.61952,,,5151.4,0.01036,
5159.8,1.6196,,,5159.8,0.01031,
5168.1,1.61962,,,5168.1,0.01031,
5176.5,1.61978,,,5176.5,0.01027,
5184.8,1.61972,,,5184.8,0.01016,
5193.2,1.61988,,,5193.2,0.01015,
5201.5,1.61996,,,5201.5,0.01005,
5209.9,1.62003,,,5209.9,0.00993,
5218.2,1.62008,,,5218.2,0.01004,
5226.6,1.62025,,,5226.6,0.0099,
